twitId,twitContent,userName
1597690442241695744,RT @GeoffBakerTIMES: I could hear Iranian player screaming like leg had been amputated from the next room. Thought hed fractured it but se,JaydaEvans
1597690442002284545,"RT @ManUtd: CASEMIROOOO  

#MUFC || #WorldCup",kwatowilsy
1597690441629315073,"RT @Shahabesque: This is Kian Pirfalak wearing a @BlackYellow shirt, explaining how he made a robot with some stationery materials! He was",MsmNhhh
1597690437061341184,"RT @SirKunt: $150 in 36 Hours 

 RT &amp; Sign-up
https://t.co/3dNw0YM2FS

#Mint . #Stake . #Earn $BIB
 
25,000,000 #BIBTokens to be given a",9Schrodinger
1597690436726185984,"RT @Secretpathfind: All of these shots on goalwhen I should be pumping shots into you 
#nsfw #nsfwtwt #breeding #kink #worldcup https://t",obsessedWINTTR
1597690433202946053,"RT @BBCMOTD: This guy 

That's Marcus Rashford's third goal of the #WorldCup! 

#BBCWorldCup #BBCFootball https://t.co/tGhqwzw7Kz",Wayne260183
1597690430787031040,"RT @FomoSportsnft: FomoSports #WorldCup NFT 
Mint to Win 124,000

Choose 1 team
Get Passive Dividend &amp; Airdrop &amp; Champion pot
L",cha0x_
1597690430157885441,I will go in goal for Wales #WorldCup,bgomessantos
1597690427704246272,USA has lost their edge. They are playing on their heels. They always do this. Start fast and fizzle out. They gott https://t.co/Ae3Uivh9rn,cstamp88
1597690425430933505,RT @JediFett: I know flopping in basketball is a thing and ain't going away but good god please stop comparing Marcus Smart pretending to f,Bren123Luke
1597690421739941889,"Rashoford scoring his 100th goal for England at the World Cup &gt;&gt;&gt;&gt; 
With a banging left foot strike 
#Worlds2022 https://t.co/WnlvOH7DzR",DaisyKJohn1
1597690421395992576,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",DylanBeast_MUFC
1597690418183168000,Rashford is amazing #WorldCup,cathstay
1597690417851822080,RT @sen: We recently captured a short video of #Qatar while testing one of our cameras. Within this video is four #WorldCup stadiums; Lusai,charlesblack
1597690417180704768,We're winning  tonights match  #ENGLAND  #anglettere #worldcup #coupedumonde2022  ,ajpstromaefan
1597690416601894912,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",nkathaQ
1597690415846940672,"RT @TheDrIman:       
.
#WorldCup 
#MahsaAmini
#_",Black851005
1597690414706089984,England are showing real class in this second half #WorldCup,GillianDowning2
1597690411954601985,USA VS Iran is such a snoozefest. Idk what I was thinking choosing to watch it over England VS Wales.  #FIFAWorldCup #WorldCup,ThySaiyan
1597690408628518912,"Come on lads! Roar the 3 Lions!
#WorldCup #GGMU https://t.co/4epPJ5He5e",hirman74
1597690404883009536,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",ibambalam
1597690404388098048,"Y este nivel flow 2017 de Marcus Rashford?

Golpe encima de la mesa para ponerle difciles las cosas a Southgate https://t.co/8fpgM3xx1I",unaaaii11
1597690403524075520,"RT @TCKBonuses: What team do you guys have WINNING!? 

England 
WALES 

One correct winner will get a prize :) 

#WorldCup #F",EugeArias41
1597690401225609216,RT @TaylorTwellman: Tyler Adams has had himself a #WorldCup to say the least. Geezus,TheMexiJen
1597690400075939840,Everytime they flop in these #WorldCup games... #USA https://t.co/BxIHZqm7U5,RayViewATL
1597690399161712641,"Acosta is a waste of space, so of course Berhalter puts him on. #IRNUSA #WorldCup",RealMBB
1597690395840086016,"9 goals so far in group stages.
That Southgate is boring.

#WorldCup",Alitheeagle1
1597690389854814209,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",prwpmsrwt
1597690386658779136,"ENGLAND, STOP GOING BACKWARDS!!
#WALENG #FIFAWorldCupQatar2022 #ENGLAND #WorldCup",ScurvyPete13
1597690383898759170,RT @GeoffBakerTIMES: I could hear Iranian player screaming like leg had been amputated from the next room. Thought hed fractured it but se,FHFHBot
1597690382082768900,Knew rashford was gonna do something crazy in this game #WorldCup,Jayofficial0
1597690381327794176,Lets go USA!! #WorldCup,DaveJHadley
1597690377624236032,Check out my classroom on @DonorsChoose! I'd love your help to bring my project to life:  https://t.co/Ork7cIZxnh https://t.co/Jo9D1aQGyE,mezzapelle6
1597690376667766788,"RT @Shahabesque: This is Kian Pirfalak wearing a @BlackYellow shirt, explaining how he made a robot with some stationery materials! He was",lila56072038
1597690376436928512,"RT @djseip: Australia vs Denmark Predictions and Odds
#AUSvsDEN #WorldCup 

https://t.co/Ha4plbgfpJ",KameniCassandra
1597690376080756736,"RT @ManUtd: An acrobatic effort from @MarcusRashford 

#MUFC || #WorldCup https://t.co/YQxSdG7AOv",francislyf1
1597690375057346560,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",kevinstfns
1597690365892755457,"RT @Shahabesque: This is Kian Pirfalak wearing a @BlackYellow shirt, explaining how he made a robot with some stationery materials! He was",Gisgolabatoon3
1597690365624012800,"This is more like it!
#engwales #WorldCup",ElleSm
1597690360771514368,"RT @_Potts: Manchester United are carrying this World Cup 

#WorldCup https://t.co/1OMSGccPng",TittyBoy06
1597690360247246850,fab @topbananaantiques  #StandWithUkraine #antiquesilver #dogsoftwitter #stopclimatechange #recycle https://t.co/E3hwoYvtn3,TopBananaMall
1597690359836217344,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",okoroprinceu
1597690355180535808,"RT @TheDrIman:       
.
#WorldCup 
#MahsaAmini
#_",HajiMasoumeh
1597690353116925952,First #USMNT  game Ive been able to watch. Iran not going down easy. They are dangerous and getting a bit desperat https://t.co/Hg6GLDMkZQ,MarkCavanaugh3
1597690352768815106,"https://t.co/ywmkczaWZN
#sagabet98 #wallet #joker123 #livecasino #slotonlinegacor #judibolamixparlay https://t.co/iVolhE3UQT",KarinMo6
1597690352089333762,"RT @TheDrIman:       
.
#WorldCup 
#MahsaAmini
#_",__yeganam_
1597690350738735104,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",yhanakamarullah
1597690349849579521,The Prince of Wales will be loving this #ENGvWAL #NotMyPrince #AbolishTheMonarchy #WorldCup #NotMyKing #downwiththecrown,ThistleCanuck
1597690346950967297,"RT @ManUtd:  @B_Fernandes8 starts for @SelecaoPortugal, with @DalotDiogo on the bench. 

 @FPellistri07 is named among the @Uruguay sub",RecapturnresC
1597690343591677952,"Gotta love #WorldCup right now! 
... But its still soccer ...

#IRNUSA https://t.co/5LGrtLVA7R #IRNUSA https://t.co/5LGrtLVA7R",GrowthFactr
1597690342194974721,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",ejwoods95
1597690341993615360,They endured O'Douls and vuvuzales.  American heroes. #USAvIRN #WorldCup #Elvis https://t.co/K1F37MS0Hz,Auxarcer
1597690341984829441,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",paigeatkins22
1597690333995102211,"Yo this things ending 1-1, yikes
#USA #Iran
#WorldCup",6thandJuneau
1597690331935694848,"RT @BlueLagoon_Spa: #TUESDAYVIBES 
VIXEN 
AVAIL 11AM-7PM
1616 Matheson Blvd E #Mississauga
4166277243 https://t.co/HTr6VFEiFD 
#Terb #",BlueLagoon_Spa
1597690330723520512,"RT @Shahabesque: This is Kian Pirfalak wearing a @BlackYellow shirt, explaining how he made a robot with some stationery materials! He was",madoone
1597690330576736257,"RT @gambabit: If USA beats Iran I will giveaway $50 to one random person that RETWEETS this tweet and FOLLOWS US!

LETS GO USA!
#WorldCup #",emirhan29kaya
1597690325069598720,"Its happening  v 
.
.
#englandvswales #WorldCup #ENGLAND #WalesvsEngland #walesvengland https://t.co/eMXQ0881t8",Gazzy_Evans
1597690324947996672,"#Scotland have had a better tournament than #Wales.

#WorldCup",beatroute66
1597690322875998208,"So, @KRFMoore how's this working out for you?  #WALENG #WorldCup #WorldCup2022 #GoingHomeInTheMorning https://t.co/UZZoU78zX6",andy_wedge
1597690320430370816,"RT @Shahabesque: This is Kian Pirfalak wearing a @BlackYellow shirt, explaining how he made a robot with some stationery materials! He was",Armitab8
1597690319834734592,Didn't Kieffer Moore say he couldn't wait to knock England out? That went fucking well didn't it  #WorldCup #ThreeLions,ibboryan
1597690319352795136,"RT @FalastinTahya: ""We sacrifice our souls and blood for you, oh Palestine.""

Chanting for Palestine at #WorldCup 2022 in Qatar. This remin",dermot_murph
1597690314205974528,"RT @ManUtd: A fantastic free kick from @MarcusRashford 

#MUFC || #WorldCup https://t.co/KD7pT7k7B0",Berbato22274154
1597690313711431680,I'll say it. World Cup soccer players are the biggest babies. Every time they are touched they fake an injury like https://t.co/qpM9qV1P30,e_stoddard
1597690309840105472,Come on England. You got this! #Rashford #youbeauty #WorldCup https://t.co/D4Cgzs1i3u,RachCooke22
1597690308946726915,"RT @gambabit: If USA beats Iran I will giveaway $50 to one random person that RETWEETS this tweet and FOLLOWS US!

LETS GO USA!
#WorldCup #",firstgtogo
1597690307680034816,"RT @BlueLagoon_Spa: #TUESDAYVIBES 
LAURA
AVAIL 11AM-7PM
1616 Matheson Blvd E #Mississauga
4166277243 https://t.co/HTr6VFEiFD 
#Terb #l",BlueLagoon_Spa
